entity_id,username,title,type,members_count,invite_link,description,is_public,is_verified,is_restricted,category,language,discovery_term,discovery_date,last_message_date
2249347109,Elliott_Wave_Forex,Elliott Wave forex,channel,31974,https://t.me/Elliott_Wave_Forex,"📌 Why Forex Trading is Better than Indian market?
1) 24 Hour's Market Time
2) No Premium Decay 
3) High Margin To Maximize Gains
5) Forex Trading can Be Done With 150-200 Dollars 💰
6) Instant Deposit Withdrawals 📈

Contact:👉 @Forex_Trader_teams",True,False,False,forex,en,forex,2025-05-14 20:25:59,2025-05-14 12:29:44
1811069819,Forex_Signal_Gold_Pro_Trader,Gold Pro Trader 📈,channel,56984,https://t.me/Forex_Signal_Gold_Pro_Trader,We will be provide #Xauusd #gbpjpy #btcusd Signal with High Accuracy,True,False,False,crypto,unknown,forex,2025-05-14 20:25:59,2025-05-14 17:37:10
2263666394,forex_signals_premium_index_news,Forex Signals premium news,channel,39507,https://t.me/forex_signals_premium_index_news,"✔️5 FREE Forex, Gold, Index trading signals a day

✔️BEST VIP SIGNALS +1000 pips/week 

✔️FREE COPY TRADING",True,False,False,forex,en,forex,2025-05-14 20:25:59,2025-05-14 12:43:18
2640132325,Gbpjpyforex_signals,GBP/JPY FOREX SIGNALS,channel,82268,https://t.me/Gbpjpyforex_signals,"We give out both forex signals and indicators🚦 as well as strategy and teach forex✅ 
- Live trading📲
- Signals📊
- Private Q&A groups 
📉For VIP paid services 
CONTACT ADMIN ☎️ @Chat_Akeem_Mayi",True,False,False,crypto,en,forex,2025-05-14 20:25:59,2025-05-14 12:33:59
2072387989,forex_new,Forex Gold Sinyal,channel,70225,https://t.me/forex_new,Piyasanın en iyi analizcilerin olduğu tek kanal - İletişime geçmek için : @Signal_goldens,True,False,False,forex,tr,forex,2025-05-14 20:25:59,2025-05-14 12:42:15
1942594776,forexsignals01_trade,Forexsignal.io🇬🇧🇺🇸,channel,752819,https://t.me/forexsignals01_trade,"t.me/LOUIS_DONALD_ADMINFX
Best Telegram Channel for Forex Signals and Investment plans
-Our Forex Signals & Technical Analyses Are Based On Price Action, Momentum, and Previous Active Price Points
-Weekly 1000+ forex.
🔰 CONTACT

t.me/LOUIS_DONALD_ADMINFX",True,False,False,forex,en,forex,2025-05-14 20:25:59,2025-05-14 17:26:20
1092443297,forexl,Trade with DD,channel,5111,https://t.me/forexl,"http://t.me/forexl
👉 Don't loss your mone With Scammer click on link and Get Signals free
👉 Profitable managers 15% Maximum Drawdown make Huge profit life time
+923060489141📲
https://whatsapp.com/channel/0029VaXgS8d30LKGthOFIe0n",True,False,False,forex,en,forex,2025-05-14 20:26:00,2025-05-14 14:19:17
2586937373,vfx_fxx,VFX MAIN CHANNEL,channel,1840,https://t.me/vfx_fxx,"Trading insights & market updates.
Educational content. Smart strategies.
No financial advice. No hype.",True,False,False,crypto,en,fx,2025-05-14 20:26:03,2025-05-14 18:09:00
2334878089,forextrading_az,Forex Trading,channel,7176,https://t.me/forextrading_az,Forex-lə bağlı maraqlı paylaşımlar və bilgilər📈📚📌,True,False,False,crypto,en,forextrading,2025-05-14 20:26:06,2025-04-11 18:50:09
1071172551,forextradingwithabdalhady,forex trading with abdalhady,channel,2351,https://t.me/forextradingwithabdalhady,"""When you know how to use time with price then you know how to trade""
متى عرفت كيف تستخدم الوقت مع السعر فانت تعرف كيف تتاجر",True,False,False,crypto,en,forextrading,2025-05-14 20:26:06,2025-05-12 23:03:42
1680693006,forextradingmastersi,🏆𝐅𝐎𝐑𝐄𝐗 𝐓𝐑𝐀𝐃𝐈𝐍𝐆 𝐌𝐀𝐒𝐓𝐄𝐑🏆,megagroup,2929,https://t.me/forextradingmastersi,"👍Forex & Binary Account Management Service is Available👈 
🌸Minimum 100$ 200$ 300$ 400$ 500$ 1000$ To Unlimited
🤙50%50. Profit share
Profit Sharing Methods Through Skrill,Netler,BTC, Webmoney, Perfect money
     
☎️ @Sharique55
🖕🖕",True,False,False,crypto,unknown,forextrading,2025-05-14 20:26:06,2025-05-08 11:41:39
1532148260,ForexTradingCyprus,𝑭𝒐𝒓𝒆𝒙 𝑻𝒓𝒂𝒅𝒊𝒏𝒈 𝑪𝒚𝒑𝒓𝒖𝒔📈💱📉,megagroup,1207,https://t.me/ForexTradingCyprus,"𝑆𝑢𝑝𝑝𝑙𝑦 & 𝐷𝑒𝑚𝑎𝑛𝑑 𝑇𝑟𝑎𝑑𝑒𝑟  

𝑃𝑟𝑜𝑝𝑓𝑖𝑟𝑚 𝑎𝑛𝑑 𝐷𝑎𝑦 𝑇𝑟𝑎𝑑𝑒𝑟

𝐶𝑜𝑛𝑡𝑎𝑐𝑡 𝑀𝑒 @RichieOneFx",True,False,False,forex,unknown,forextrading,2025-05-14 20:26:06,2025-05-14 16:54:15
1549509325,forextradingMaster2230,GOLD VIP SIGNALS,megagroup,1546,https://t.me/forextradingMaster2230,"👍Forex & Binary Account Management Service is Available👈 
🌸Minimum 100$ 200$ 300$ 400$ 500$ 1000$ To Unlimited
🤙50%50. Profit share
Profit Sharing Methods Through Skrill,Netler,BTC, Webmoney, Perfect money
     
☎️ @Javidali13
🖕🖕",True,False,False,crypto,en,forextrading,2025-05-14 20:26:07,2024-03-31 02:56:40
1442936465,ForexTradingHQ,⚠️Discontinued ⚠️,channel,1017,https://t.me/ForexTradingHQ,"This telegram is for educational and learning purposes.

Disclaimer: Trade at your own risk. Results may vary. Past performance does not guarantee future results. Never risk what you're not willing to lose.",True,False,False,unknown,es,forextrading,2025-05-14 20:26:07,2023-02-24 00:50:48
2178298490,Forextrading5,Forex trading 5,channel,153,https://t.me/Forextrading5,forex trading Expert #xauusd   invest 10k for  10% profit my team join now,True,False,False,crypto,es,forextrading,2025-05-14 20:26:07,2025-05-05 06:46:33
1754950575,ForexTradingJ,Forex Trading Signals JS,channel,41,https://t.me/ForexTradingJ,"〽️Daily Forex Signal
〽️85-95% accuracy
〽️VIP SIGNALS $15

#COPY_TRADING_Service",True,False,False,crypto,en,forextrading,2025-05-14 20:26:07,2024-02-24 00:57:22
2383746942,Forexsignal_comm,ForexSignals.Com📊 ®️,channel,24170,https://t.me/Forexsignal_comm,"10 Years Experience in 👇
#BTCUSDm
#XAUUSDm
#GBPJPYm
#GBPCADm
#GBPAUDm
#GBPCHFm
#GBPUSDm
#US30m
#EURJPYm
#EURNZDm
#CADJPYm
#AUDCADm
#EURCADm
#EURCHFm
#EURAUDm
#USDJPYm
#USDCADm
#NZDUSDm

Contact Admin📲:

 https://t.me/Team_Support_Admin01",True,False,False,forex,en,forexsignals,2025-05-14 20:26:11,2025-05-14 15:37:30
1005437351,ForexSignals,ForexSignals,channel,3681,https://t.me/ForexSignals,"🔴🟠🟡⚪️
https://t.me/ForexCalendar
🔴🟠🟡⚪️
☘️ The first channel of forex signals
☘️Daily 2-3 free signals

Support English:@wikionline

https://www.paypal.me/wikionline",True,False,False,forex,en,forexsignals,2025-05-14 20:26:11,2025-05-14 13:13:53
2410904482,ForexSignalsBluePips_official,FOREX SIGNALS BLUE PIPS,channel,18083,https://t.me/ForexSignalsBluePips_official,"📌 Why Forex Trading is Better than Indian market?
1) 24 Hour's Market Time
2) No Premium Decay 
3) High Margin To Maximize Gains
5) Forex Trading can Be Done With 150-200 Dollars 💰
6) Instant Deposit Withdrawals 📈

Contact:👉 @Forexpaid_signals✅",True,False,False,forex,en,forexsignals,2025-05-14 20:26:11,2025-05-14 12:48:53
1819203875,forexsignalsxauusdl,Forex Signals 🔥💰 XAUUSD,channel,24716,https://t.me/forexsignalsxauusdl,"Channel that made on public demand and because of Accuracy we hold🔥 and Massive Profits we make 💰

Contact: @Ahmedforexs",True,False,False,forex,en,forexsignals,2025-05-14 20:26:11,2025-05-14 14:27:58
1249508741,forexsignalsxauusd,Forex Signals🔥💰 XAUUSD,channel,14026,https://t.me/forexsignalsxauusd,"Channel that made on public demand and because of Accuracy we hold🔥 and Massive Profits we make 💰

https://forexsignalsxauusd.com",True,False,False,forex,en,forexsignals,2025-05-14 20:26:12,2025-05-14 12:52:36
1326583812,Official_ForexSignals,ForexSignals.io 🇬🇧,channel,9858,https://t.me/Official_ForexSignals,"Forex Professionals 🇬🇧
15+ Years Combined 

Gold/US30/NASDAQ/FX 

Get VIP Access 🤖 
✅ @FXSio_Bot

👨‍💻Start COPYING our VIP trades Automatically…
🚀🔥 https://app.copygram.app?via=forexsignals",True,False,False,forex,es,forexsignals,2025-05-14 20:26:12,2025-05-05 06:53:17
1288801292,forexsignalsspot,Forex Trading Spot - FREE,channel,4230,https://t.me/forexsignalsspot,"LET’S MAKE TRADING EASIER TOGETHER 🚀

Our website:
👉🏼 https://forex-trading-spot.com

Contact us: 
👉🏼 @forex_signals_spot_admin",True,False,False,crypto,en,forexsignals,2025-05-14 20:26:12,2025-05-11 13:04:52
1375094118,forexsignalsz,Forex_Signalsz,channel,5097,https://t.me/forexsignalsz,"Email: fsignalss@gmail.com
Id support: @ffsignalss
Persian,english
FREE SIGNALS FOREX GOLD BITCOIN
تحلیل های بلند مدت فارکس
سیگنالهای رایگان فارکس ؛ استراتژی رایگان فارکس ؛ کانال ویژه سیگنال رایگان- بیش از 9 سال تجربه",True,False,False,crypto,en,forexsignals,2025-05-14 20:26:12,2025-05-14 17:04:53
1268395206,forexsignalsr,Synthetic Indices Signals 24/7 📈,channel,103,https://t.me/forexsignalsr,"Vix, Boom, Crash, Step Index etc. Signals
Respect risk management all times
Follow the discipline",True,False,False,unknown,es,forexsignals,2025-05-14 20:26:12,2025-01-13 08:24:05
1692892313,ForexMarketSeasonalPatterns,Forex Market Seasonal Patterns,channel,1159,https://t.me/ForexMarketSeasonalPatterns,,True,False,False,forex,en,forexmarket,2025-05-14 20:26:16,2023-08-17 18:00:35
2441811985,forexmarketkillerfreechannel,FOREX MARKET KILLER 📊🔥👌,channel,32,https://t.me/forexmarketkillerfreechannel,"BUILDING AN EMPIRE: 
Welcome to our FMK Trade Group:

This is where we discuss All Trading Topics 📈 & Help each other grow in the markets Daily!!",True,False,False,crypto,en,forexmarket,2025-05-14 20:26:16,2025-05-12 05:39:29
